1716659548,create type human 6 1 name str origin str title str age int weapon str skill str,success
1716659548,create record human RamsayBolton Dreadfort Lord 21 Dagger Strategy,success
1716659548,create type dragon 5 1 name str age int color str owner str skill str,success
1716659548,create record dragon Viserion 5 White NightKing IceBreathing,success
1716659548,create record human Bronn Stokeworth Knight 32 Crossbow Swordfighting,success
1716659548,delete record human NedStark,failure
1716659548,search record human RamsayBolton,success
1716659548,search record dragon Viserion,success
1716659548,list all records human,success
1716659548,search record human Bronn,success
1716659548,delete record human RamsayBolton,success
1716659548,search record human RamsayBolton,failure
1716659548,search record human Bronn,success
1716659549,search record human Irem,failure
1716659549,delete record zuman Bronn,failure
1716659549,create record human Bronn Stokeworth Knight 32 Crossbow Swordfighting,failure
1716659549,delete record human Bronn,success
